ID,timeStamp,x,y,pressure,areaCover,pointerCount,actionCode,screenOrientationStr,azimuth,pitch,poll,gx,gy,gz,sx,sy,sz,label
1,10808621,870.1942749,1245.313843,0.266666681,2.064516068,1,0,portrait,286.4776611,-42.65696335,-1.179272771,-0.20350647,6.16506958,6.579284668,0.24130249,0.061309814,-0.406295776,1
2,10808643,850.2127686,1244.314331,0.270588249,2.064516068,1,2,portrait,286.4776611,-42.65696335,-1.179272771,-0.20350647,6.16506958,6.579284668,0.24130249,0.061309814,-0.406295776,1
3,10808649,850.2127686,1244.314331,0.270588249,2.064516068,1,1,portrait,286.4776611,-42.65696335,-1.179272771,-0.20350647,6.16506958,6.579284668,0.24130249,0.061309814,-0.406295776,1
4,10808855,473.5615234,1171.352417,0.266666681,2.064516068,1,0,portrait,287.7976074,-45.25622177,-7.246031761,-1.980010986,6.852203369,6.016647339,0.080444336,-0.002609253,0.020889282,1
5,10808924,475.4905396,1183.672974,0.301960796,4.645161152,1,2,portrait,289.6238708,-43.7433815,-6.128242016,-1.034301758,6.29914856,7.750045776,-0.479888916,-0.323257446,0.01449585,1
6,10808958,482.0415649,1196.315186,0.321568638,4.645161152,1,2,portrait,289.9351501,-43.21356583,-5.825654984,-1.010360718,6.356613159,8.128326416,-0.163497925,-0.142150879,0.076278687,1
7,10808991,487.1878052,1206.611694,0.337254912,4.645161152,1,2,portrait,290.3452759,-43.02067566,-5.398744583,-0.909805298,6.500259399,6.816299438,-0.077209473,-0.216720581,0.087997437,1
8,10809013,509.5282288,1217.328491,0.34117648,4.129032135,1,2,portrait,290.3452759,-43.02067566,-5.398744583,-0.909805298,6.500259399,6.816299438,-0.077209473,-0.216720581,0.087997437,1
9,10809019,509.5282288,1217.328491,0.34117648,4.129032135,1,1,portrait,290.3452759,-43.02067566,-5.398744583,-0.909805298,6.500259399,6.816299438,-0.077209473,-0.216720581,0.087997437,1
10,10809714,497.5393066,1235.319092,0.321568638,2.064516068,1,0,portrait,296.7264709,-40.68536758,-9.000596046,-1.584960938,6.07409668,6.950378418,-0.131546021,-0.020721436,-0.049423218,1
11,10809807,497.5393066,1235.319092,0.321568638,2.064516068,1,1,portrait,297.8235779,-40.03329086,-8.709123611,-1.577774048,6.028594971,7.465133667,0.200820923,-0.01751709,0.011291504,1
12,10839481,1311.317017,737.2506714,0.301960796,2.064516068,1,0,landscape,229.7297821,-7.031003475,41.45717239,6.56729126,0.938522339,7.137130737,0.093231201,-0.077178955,-0.023864746,1
13,10839715,1311.317017,737.2506714,0.301960796,2.064516068,1,1,landscape,230.0578766,-7.396997929,41.45806122,6.505050659,0.933746338,7.314300537,0.014404297,0.012313843,-0.012145996,1
14,10845843,1409.265991,332.6253357,0.337254912,3.096774101,1,0,landscape,237.0553284,-15.72681236,49.49883652,7.601593018,1.956069946,5.78918457,0.022918701,0.000595093,-0.059005737,1
15,10845936,1409.265991,332.6253357,0.337254912,3.096774101,1,1,landscape,237.1425781,-15.79307175,49.3836937,7.515396118,1.742980957,6.253662109,-0.020751953,0.019760132,0.009170532,1
16,10847290,1282.332031,731.2562256,0.349019617,2.064516068,1,0,landscape,232.9213562,-8.87480545,41.84822845,6.54574585,1.022323608,6.976715088,0.063400269,0.02935791,-0.001495361,1
17,10847461,1282.332031,731.2562256,0.349019617,2.064516068,1,1,landscape,232.8095398,-9.134311676,41.68149567,6.531387329,1.127670288,7.079666138,-0.032470703,0.030410767,-0.013214111,1
18,10849866,1420.260254,327.6299744,0.498039246,3.096774101,1,0,landscape,237.4057617,-17.61470032,49.95519638,7.776367188,2.173934937,6.294372559,-0.060165405,-0.028167725,0.033660889,1
19,10850036,1420.260254,327.6299744,0.498039246,3.096774101,1,1,landscape,236.9341583,-16.60133362,49.96266937,7.560882568,1.752563477,5.57611084,-0.165634155,0.295669556,0.044311523,1
20,10853440,1240.354004,756.2330933,0.498039246,3.096774101,1,0,landscape,228.5702972,-9.46207428,35.81369019,5.681442261,1.426940918,7.673431396,0.103881836,-0.148544312,-0.023864746,1
21,10853611,1240.354004,756.2330933,0.498039246,3.096774101,1,1,landscape,228.7131805,-9.612936974,35.21880722,5.650314331,1.391036987,7.726104736,-0.025009155,0.100723267,-0.005752563,1
22,10857590,1248.349731,609.3690796,0.498039246,3.612903118,1,0,landscape,233.7199554,-20.30715942,36.7041893,5.9112854,3.083724976,7.841018677,-0.120895386,0.081542969,0.032592773,1
23,10857703,1248.349731,609.3690796,0.498039246,3.612903118,1,1,landscape,233.6572876,-19.81653214,36.39791107,5.827484131,2.671936035,7.182617188,-0.080413818,0.142272949,0.001708984,1
24,10866489,1594.169678,941.0620117,0.266666681,1.032258034,1,0,landscape,226.5064697,-6.420674801,33.48178101,5.408493042,0.873886108,8.025375366,0.036773682,0.00378418,-0.000427246,1
25,10866602,1594.169678,941.0620117,0.266666681,1.032258034,1,1,landscape,226.397644,-6.293791294,33.46653366,5.427658081,0.931350708,8.176208496,0.000549316,-0.062255859,0.016616821,1
26,10875879,1593.170166,941.0620117,0.290196091,1.032258034,1,0,landscape,225.8863831,-4.065568447,36.20438766,5.798751831,0.560241699,7.922424316,-0.010101318,-0.015396118,-0.001495361,1
27,10875986,1593.170166,941.0620117,0.290196091,1.032258034,1,1,landscape,225.8287811,-3.969659567,36.2206192,5.827484131,0.57699585,7.836227417,0.013336182,-0.027114868,0.001708984,1
28,10883582,1578.177979,947.0564575,0.349019617,2.064516068,1,0,landscape,226.0565491,-4.019855499,35.33167267,5.68862915,0.596160889,8.058898926,0.038894653,-0.033493042,-0.003616333,1
29,10883689,1578.177979,947.0564575,0.349019617,2.064516068,1,1,landscape,226.1263885,-4.174920559,35.35580444,5.664672852,0.593765259,7.881729126,0.010147095,-0.014328003,0.000640869,1
30,10885383,1545.19519,943.0601196,0.380392194,2.064516068,1,0,landscape,226.5388794,-4.528923512,35.65264893,5.741287231,0.610519409,7.917633057,0.030380249,-0.00579834,-0.00894165,1
31,10885518,1545.19519,943.0601196,0.380392194,2.064516068,1,1,landscape,226.6180115,-4.565862179,35.77813339,5.750869751,0.651229858,7.706939697,0.011199951,-0.028167725,-0.005752563,1
32,10888809,1509.213867,946.057373,0.207843155,1.548387051,1,0,landscape,226.158783,-4.277984142,36.82510757,5.849029541,0.531509399,7.788345337,-0.015426636,-0.016448975,-0.001495361,1
33,10888944,1509.213867,946.057373,0.207843155,1.548387051,1,1,landscape,226.2471008,-4.259988785,36.81818771,5.899307251,0.660797119,7.805114746,0.029312134,-0.02923584,-0.011077881,1
34,10890497,1489.224365,946.057373,0.396078467,2.064516068,1,0,landscape,227.1577911,-4.633440018,36.99453735,5.91368103,0.749389648,7.855392456,0.036773682,-0.01751709,-0.004684448,1
35,10890604,1489.224365,946.057373,0.396078467,2.064516068,1,1,landscape,227.1641998,-4.585649014,36.96207047,5.901702881,0.679946899,7.702163696,0.016525269,-0.032440186,-0.000427246,1
36,10894142,1527.20459,952.0517578,0.200000018,1.548387051,1,0,landscape,227.229599,-4.631747246,36.8158989,5.954376221,0.646438599,7.682998657,0.018661499,-0.009002686,-0.002548218,1
37,10894256,1527.20459,952.0517578,0.200000018,1.548387051,1,1,landscape,227.2821808,-4.708270073,36.79092026,5.88734436,0.696716309,7.802719116,0.009078979,-0.014328003,-0.003616333,1
38,10897546,1471.233643,939.0638428,0.415686309,2.064516068,1,0,landscape,227.676178,-5.18064785,37.150177,5.9400177,0.754180908,7.615966797,0.033569336,-0.044158936,-0.002548218,1
39,10897674,1471.233643,939.0638428,0.415686309,2.064516068,1,1,landscape,227.6727448,-5.101744652,37.08965683,5.944793701,0.699111938,7.687789917,0.021850586,-0.028167725,-0.001495361,1
40,10900702,1555.189941,963.041626,0.223529428,2.064516068,1,0,landscape,227.507019,-4.333285809,36.51909256,5.851425171,0.572219849,7.893692017,-0.029281616,0.026153564,0.004898071,1
41,10900822,1555.189941,963.041626,0.223529428,2.064516068,1,1,landscape,227.4520569,-4.326208115,36.50344849,5.851425171,0.586578369,7.864959717,-0.004776001,0.02935791,-0.000427246,1
42,10904220,1545.19519,948.055481,0.407843173,2.064516068,1,0,landscape,226.5823975,-4.488703251,36.6329155,5.825088501,0.658401489,7.821868896,0.009078979,-0.05267334,-0.001495361,1
43,10904347,1545.19519,948.055481,0.407843173,2.064516068,1,1,landscape,226.5852661,-4.398450851,36.63244247,5.896911621,0.593765259,7.697372437,0.034637451,-0.012191772,-0.004684448,1
44,10911792,1471.233643,975.0305176,0.294117659,2.064516068,1,0,landscape,225.4493256,-3.862170458,38.00852966,5.98550415,0.52911377,7.711730957,0.025054932,0.002716064,-0.004684448,1
45,10911892,1471.233643,975.0305176,0.294117659,2.064516068,1,1,landscape,225.5219727,-3.950065136,38.03327942,6.01902771,0.481231689,7.615966797,0.027191162,-0.006866455,-0.007873535,1
46,10917054,1432.254028,935.0675049,0.407843173,2.064516068,1,0,landscape,225.4594421,-4.009552002,38.3067131,6.08366394,0.574615479,7.620758057,0.031448364,-0.030303955,-0.005752563,1
47,10917168,1432.254028,935.0675049,0.407843173,2.064516068,1,1,landscape,225.444458,-3.917094707,38.2331543,6.10760498,0.572219849,7.668640137,0.028244019,-0.035629272,-0.003616333,1
48,10920821,1437.251343,963.041626,0.152941182,1.032258034,1,0,landscape,225.6623383,-3.875896692,38.48875046,6.13394165,0.533905029,7.618362427,0.017593384,0.011245728,0.001708984,1
49,10920955,1437.251343,963.041626,0.152941182,1.032258034,1,1,landscape,225.6817169,-3.94368577,38.42555618,6.124359131,0.488418579,7.613571167,0.022918701,0.019760132,-0.002548218,1
50,10923983,1393.274292,971.0341797,0.13333334,1.548387051,1,0,landscape,225.8300171,-4.192416668,38.72838593,6.16027832,0.560241699,7.589630127,0.002685547,-0.03137207,0.004898071,1
51,10924083,1393.274292,971.0341797,0.13333334,1.548387051,1,1,landscape,225.8148193,-4.185037613,38.66980743,6.16267395,0.536300659,7.651885986,-0.014358521,0.026153564,0.004898071,1
52,10930863,622.6756592,671.3117676,0.482352972,3.096774101,1,0,landscape,229.8708496,-15.995224,47.38251114,7.321472168,2.188293457,5.003890991,0.349960327,-0.377578735,-0.082443237,1
53,10930975,624.1605835,685.2702026,0.482352972,4.645161152,1,2,landscape,229.5656128,-16.29533195,46.90593338,7.623138428,2.348709106,6.14831543,-0.10383606,0.117767334,0.195587158,1
54,10930977,624.6746216,686.2978516,0.482352972,4.645161152,1,2,landscape,229.5656128,-16.29533195,46.90593338,7.623138428,2.348709106,6.14831543,-0.10383606,0.117767334,0.195587158,1
55,10930984,624.6746216,686.2978516,0.482352972,4.645161152,1,1,landscape,229.5656128,-16.29533195,46.90593338,7.623138428,2.348709106,6.14831543,-0.10383606,0.117767334,0.195587158,1
